Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-11732.0,-5856.5,-5875.5,33.01022180884775,23.21991708222463,-1875.5,-1956.0,-949.0,-1076.0,-1817.0,-1185.0,-1491.0,-1382.5
-9689.5,-5176.5,-4513.0,30.52208585474226,22.629839626948037,-1932.5,-1209.5,-1051.0,-983.5,-1322.5,-1478.5,-893.0,-819.0
-9679.5,-5033.5,-4646.0,26.021662810113696,19.469234992398157,-1700.0,-1451.5,-792.0,-1090.0,-885.5,-913.0,-1499.5,-1348.0
-10151.0,-5666.5,-4484.5,27.802829241752626,18.782929460207622,-1418.5,-1349.5,-1425.0,-1473.5,-1109.0,-1315.0,-767.5,-1293.0
-7303.5,-3655.5,-3648.0,25.948218410544925,17.21449557012982,-883.5,-742.5,-1024.5,-1005.0,-1041.5,-935.0,-697.5,-974.0
-10159.0,-6551.0,-3608.0,25.986710442437065,16.008313918113707,-2018.5,-1211.5,-1207.0,-2114.0,-759.0,-1015.0,-1080.0,-754.0
-8322.5,-3819.0,-4503.5,25.10257414976756,15.204199298222859,-976.5,-716.5,-1064.0,-1062.0,-1385.5,-1127.0,-870.0,-1121.0
-9053.0,-4191.5,-4861.5,24.52506464852227,16.3439510901769,-1082.5,-1127.5,-1004.0,-977.5,-1401.5,-1322.0,-1102.0,-1036.0
-8935.5,-3972.0,-4963.5,23.27002444134818,16.39239144590166,-866.5,-715.5,-1106.0,-1284.0,-1599.5,-1559.5,-791.0,-1013.5
-8106.5,-4298.5,-3808.0,22.110987362596724,16.506937350167167,-1275.5,-978.0,-917.0,-1128.0,-1188.0,-1024.5,-613.0,-982.5
-8261.5,-3638.5,-4623.0,24.893059409989252,21.11538404888577,-1077.5,-697.0,-1183.0,-681.0,-1504.5,-1265.0,-1098.5,-755.0
-8664.5,-3990.5,-4674.0,25.31524241235521,20.87994769414266,-1067.0,-1038.5,-1123.0,-762.0,-1630.5,-1146.5,-781.0,-1116.0
-8494.0,-4727.0,-3767.0,23.93219724231296,21.512756514549256,-1289.5,-1128.5,-1099.0,-1210.0,-1076.0,-1034.5,-730.0,-926.5
-8438.0,-4182.0,-4256.0,23.609637681643168,21.680859563085768,-805.5,-860.5,-1231.5,-1284.5,-1826.0,-979.0,-489.5,-961.5
-8426.5,-4828.0,-3598.5,23.177456079588996,20.860785677697923,-1538.5,-977.5,-1332.5,-979.5,-1295.0,-1052.5,-597.0,-654.0
-8840.5,-4838.5,-4002.0,23.90540457566579,20.17289720243878,-1304.5,-1260.0,-1195.5,-1078.5,-1324.0,-1043.0,-885.0,-750.0
-9345.0,-3850.5,-5494.5,23.35515201886495,20.67453919781579,-992.5,-959.0,-708.5,-1190.5,-1485.0,-1838.5,-798.5,-1372.5
-8058.0,-4153.0,-3905.0,22.69226771460639,20.904474947187637,-1061.5,-657.0,-1219.0,-1215.5,-1334.0,-804.0,-726.0,-1041.0
-7968.0,-4071.0,-3897.0,22.41097694238027,21.0428952799903,-970.5,-854.0,-1156.5,-1090.0,-1368.5,-982.5,-732.0,-814.0
-7792.5,-4476.5,-3316.0,21.980521893501283,20.438396218087938,-1394.0,-1031.0,-1158.5,-893.0,-894.5,-1023.5,-664.0,-734.0
-7481.5,-4182.0,-3299.5,21.486786348289915,19.911812358432346,-1234.5,-725.5,-1230.0,-992.0,-824.5,-979.0,-733.0,-763.0
-8175.5,-3976.0,-4199.5,21.715366326438055,20.61596740881602,-948.5,-850.0,-1018.5,-1159.0,-1315.0,-939.5,-1109.0,-836.0
-7640.5,-3732.5,-3908.0,21.388839432928297,19.81824400954776,-1033.0,-763.5,-1016.5,-919.5,-913.5,-919.5,-1142.5,-932.5
-7705.5,-4274.5,-3431.0,21.658116213480632,19.44352681239446,-1076.0,-917.5,-834.5,-1446.5,-861.5,-840.5,-693.0,-1036.0
-7382.0,-3724.5,-3657.5,21.568791352377996,19.222675177786087,-1124.5,-645.0,-883.0,-1072.0,-984.0,-1072.0,-788.5,-813.0
-7691.0,-4561.0,-3130.0,20.79965522819095,19.63313919438256,-1818.0,-1255.0,-729.0,-759.0,-927.0,-766.0,-557.5,-879.5
-7352.0,-3931.0,-3421.0,20.58794336716334,19.586124675803713,-926.0,-832.5,-1122.0,-1050.5,-704.5,-1372.5,-602.0,-742.0
-6891.0,-3161.5,-3729.5,21.97069713142183,18.483923856417338,-637.5,-631.5,-1060.5,-832.0,-1056.0,-965.0,-912.5,-796.0
-7959.0,-4243.0,-3716.0,20.341397983498045,18.233979166878594,-1406.0,-841.5,-794.5,-1201.0,-1067.0,-1200.0,-530.0,-919.0
-8221.0,-4543.5,-3677.5,20.26767032676273,17.93144513103697,-957.0,-1316.0,-828.5,-1442.0,-858.5,-1177.5,-854.5,-787.0
-6692.5,-3688.5,-3004.0,19.160523280832503,17.28907873365614,-1009.5,-622.5,-975.5,-1081.0,-942.5,-789.0,-492.5,-780.0
-7755.0,-4154.5,-3600.5,19.38006315893597,16.63581938346227,-720.0,-1011.5,-1345.0,-1078.0,-923.0,-1041.5,-713.5,-922.5
-6505.5,-3389.5,-3116.0,18.707703959941863,17.363174090120527,-673.0,-560.5,-1432.5,-723.5,-1024.0,-855.0,-674.0,-563.0
-7084.5,-4133.0,-2951.5,18.485757670137616,17.086785968144735,-1202.0,-722.0,-1096.0,-1113.0,-1001.5,-736.0,-623.5,-590.5
-7313.0,-4081.0,-3232.0,17.58506307601929,16.51074563662211,-1050.5,-813.0,-1110.0,-1107.5,-790.5,-913.5,-751.0,-777.0
-7131.5,-3834.5,-3297.0,18.71617431110806,16.051117628150514,-954.5,-600.0,-1269.0,-1011.0,-795.5,-1084.5,-781.5,-635.5
-7746.5,-3901.0,-3845.5,18.201400099860297,15.70129373073578,-920.5,-941.5,-1113.5,-925.5,-817.0,-935.5,-1082.5,-1010.5
-6733.5,-2840.5,-3893.0,17.2841641108195,15.812995525201162,-691.5,-508.5,-684.5,-956.0,-1206.5,-1164.0,-603.5,-919.0
-7130.5,-3807.0,-3323.5,17.69152825805876,15.233912256028917,-900.0,-549.0,-1458.5,-899.5,-791.0,-722.0,-925.5,-885.0
-5845.0,-2982.0,-2863.0,17.894414618280198,14.936787720521291,-702.5,-596.0,-708.5,-975.0,-835.0,-589.0,-782.5,-656.5
-6572.0,-2978.5,-3593.5,17.61768715646532,14.11189838382933,-796.0,-587.0,-847.5,-748.0,-832.0,-1055.0,-765.0,-941.5
-6434.5,-3212.5,-3222.0,16.560526684919992,14.3882432685958,-646.5,-644.0,-955.0,-967.0,-684.5,-832.5,-917.0,-788.0
-6683.0,-3209.5,-3473.5,16.409720040692225,14.182168957922194,-742.5,-645.0,-944.0,-878.0,-879.0,-709.5,-1087.5,-797.5
-5895.5,-3075.5,-2820.0,15.724510901504093,14.087700118621191,-833.5,-568.0,-734.5,-939.5,-834.0,-655.0,-559.5,-771.5
-6963.5,-3662.0,-3301.5,16.393410527706145,12.905692866113451,-840.0,-490.5,-1137.0,-1194.5,-666.5,-898.0,-797.5,-939.5
-6357.5,-2862.0,-3495.5,15.413683044910432,12.983343897925483,-824.0,-649.5,-699.0,-689.5,-1031.0,-1012.0,-849.0,-603.5
-5989.0,-3394.0,-2595.0,16.05015367269516,12.582810962200165,-734.5,-690.0,-856.0,-1113.5,-715.0,-791.5,-487.5,-601.0
-6058.5,-2431.5,-3627.0,15.023719056447346,12.131051205264198,-638.5,-432.5,-717.5,-643.0,-989.0,-1111.5,-771.0,-755.5
-5739.5,-2670.5,-3069.0,14.341255405214097,12.407786507076688,-733.5,-595.5,-768.5,-573.0,-1273.0,-726.0,-480.5,-589.5
