Network_Reward,Group_A_Reward,Group_B_Reward,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-2210.5,-1178.0,-1032.5,-294.5,-294.5,-294.5,-294.5,-258.125,-258.125,-258.125,-258.125
-2077.0,-1154.5,-922.5,-288.625,-288.625,-288.625,-288.625,-230.625,-230.625,-230.625,-230.625
-2414.5,-1314.0,-1100.5,-328.5,-328.5,-328.5,-328.5,-275.125,-275.125,-275.125,-275.125
-2345.5,-1054.0,-1291.5,-263.5,-263.5,-263.5,-263.5,-322.875,-322.875,-322.875,-322.875
-2302.0,-1241.0,-1061.0,-310.25,-310.25,-310.25,-310.25,-265.25,-265.25,-265.25,-265.25
-2306.0,-1251.5,-1054.5,-312.875,-312.875,-312.875,-312.875,-263.625,-263.625,-263.625,-263.625
-2269.0,-1209.5,-1059.5,-302.375,-302.375,-302.375,-302.375,-264.875,-264.875,-264.875,-264.875
-2505.5,-1260.5,-1245.0,-315.125,-315.125,-315.125,-315.125,-311.25,-311.25,-311.25,-311.25
-2304.0,-1101.5,-1202.5,-275.375,-275.375,-275.375,-275.375,-300.625,-300.625,-300.625,-300.625
-2205.5,-1052.0,-1153.5,-263.0,-263.0,-263.0,-263.0,-288.375,-288.375,-288.375,-288.375
-2230.5,-1245.5,-985.0,-311.375,-311.375,-311.375,-311.375,-246.25,-246.25,-246.25,-246.25
-2107.5,-1111.5,-996.0,-277.875,-277.875,-277.875,-277.875,-249.0,-249.0,-249.0,-249.0
-2329.0,-1240.0,-1089.0,-310.0,-310.0,-310.0,-310.0,-272.25,-272.25,-272.25,-272.25
-2076.5,-1169.0,-907.5,-292.25,-292.25,-292.25,-292.25,-226.875,-226.875,-226.875,-226.875
-1918.5,-1010.5,-908.0,-252.625,-252.625,-252.625,-252.625,-227.0,-227.0,-227.0,-227.0
-1996.5,-1079.5,-917.0,-269.875,-269.875,-269.875,-269.875,-229.25,-229.25,-229.25,-229.25
-2349.5,-1301.0,-1048.5,-325.25,-325.25,-325.25,-325.25,-262.125,-262.125,-262.125,-262.125
-2188.5,-1112.0,-1076.5,-278.0,-278.0,-278.0,-278.0,-269.125,-269.125,-269.125,-269.125
-2172.5,-1161.0,-1011.5,-290.25,-290.25,-290.25,-290.25,-252.875,-252.875,-252.875,-252.875
-2079.0,-1103.5,-975.5,-275.875,-275.875,-275.875,-275.875,-243.875,-243.875,-243.875,-243.875
-2287.5,-1164.5,-1123.0,-291.125,-291.125,-291.125,-291.125,-280.75,-280.75,-280.75,-280.75
-2227.5,-1158.0,-1069.5,-289.5,-289.5,-289.5,-289.5,-267.375,-267.375,-267.375,-267.375
