episode,network_reward,avg_intersection_reward,avg_wait_time,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
1,-1544.5,-193.0625,0.0,-232.0,-130.5,-194.0,-197.0,-211.0,-221.0,-161.5,-197.5
2,-1348.5,-168.5625,0.009259259259259259,-200.0,-150.5,-158.5,-180.0,-174.5,-155.0,-135.0,-195.0
3,-1516.5,-189.5625,0.0,-235.5,-131.0,-207.0,-178.0,-237.5,-227.0,-152.5,-148.0
4,-1724.0,-215.5,0.01818181818181818,-312.5,-139.5,-241.0,-183.0,-269.0,-235.0,-160.5,-183.5
5,-1516.0,-189.5,0.020202020202020204,-294.5,-125.0,-194.0,-206.0,-188.5,-201.5,-140.0,-166.5
6,-1687.0,-210.875,0.02608695652173913,-294.0,-158.5,-202.0,-251.5,-207.5,-248.5,-101.0,-224.0
7,-1495.5,-186.9375,0.03669724770642202,-276.0,-122.5,-211.0,-145.0,-229.5,-195.5,-139.0,-177.0
8,-1320.5,-165.0625,0.008130081300813009,-232.0,-141.0,-149.5,-116.5,-217.5,-204.5,-107.5,-152.0
9,-1600.0,-200.0,0.0,-230.5,-168.5,-195.5,-259.5,-205.5,-165.0,-194.5,-181.0
10,-1454.0,-181.75,0.009523809523809525,-243.5,-126.5,-191.0,-152.5,-209.5,-235.5,-132.5,-163.0
11,-1657.0,-207.125,0.05454545454545454,-290.5,-121.5,-238.0,-241.0,-190.5,-209.5,-145.0,-221.0
12,-1484.5,-185.5625,0.05555555555555555,-259.5,-137.5,-202.5,-203.0,-180.5,-161.0,-137.5,-203.0
13,-1649.0,-206.125,0.058823529411764705,-263.5,-174.5,-193.5,-230.5,-223.5,-254.0,-135.0,-174.5
14,-1547.0,-193.375,0.06481481481481481,-260.0,-124.5,-220.5,-230.5,-211.5,-170.0,-146.5,-183.5
15,-1630.0,-203.75,0.008403361344537815,-275.5,-158.0,-191.5,-213.5,-256.5,-241.0,-129.5,-164.5
16,-1687.0,-210.875,0.0,-333.0,-162.5,-178.0,-217.5,-240.0,-207.0,-154.0,-195.0
17,-1569.5,-196.1875,0.00909090909090909,-260.0,-178.0,-233.0,-197.5,-182.5,-203.5,-149.0,-166.0
18,-1605.5,-200.6875,0.008333333333333333,-276.5,-165.0,-169.5,-262.0,-184.5,-196.0,-122.5,-229.5
19,-1465.0,-183.125,0.0,-256.5,-132.5,-180.5,-179.5,-218.5,-190.5,-137.5,-169.5
20,-1416.5,-177.0625,0.06315789473684211,-242.5,-143.5,-173.0,-191.5,-188.0,-159.0,-127.5,-191.5
