episode,network_reward,avg_intersection_reward,avg_wait_time,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
1,-1437.5,-179.6875,0.01680672268907563,-257.5,-154.0,-186.0,-186.0,-194.5,-185.5,-129.0,-145.0
2,-1582.5,-197.8125,0.022556390977443608,-261.5,-146.0,-218.5,-220.0,-175.0,-227.5,-141.5,-192.5
3,-1306.5,-163.3125,0.017543859649122806,-236.0,-125.5,-206.5,-158.0,-158.5,-130.0,-130.0,-162.0
4,-1545.0,-193.125,0.037037037037037035,-320.0,-162.0,-196.5,-169.5,-232.5,-235.0,-98.5,-131.0
5,-1485.0,-185.625,0.008620689655172414,-246.5,-170.0,-180.0,-173.0,-238.0,-193.0,-135.5,-149.0
6,-1344.0,-168.0,0.0,-233.5,-125.0,-197.0,-137.5,-164.0,-202.0,-98.5,-186.5
7,-1503.0,-187.875,0.1328125,-232.5,-107.5,-185.0,-225.5,-240.5,-190.5,-144.0,-177.5
8,-1473.5,-184.1875,0.04424778761061947,-227.5,-171.5,-215.0,-155.0,-185.0,-191.0,-157.5,-171.0
9,-1531.5,-191.4375,0.03571428571428571,-261.0,-140.5,-217.5,-225.5,-192.5,-126.0,-164.0,-204.5
10,-1715.5,-214.4375,0.06349206349206349,-329.5,-141.0,-183.0,-207.5,-279.5,-216.5,-175.5,-183.0
11,-1725.0,-215.625,0.09009009009009009,-283.0,-150.5,-188.5,-236.0,-244.0,-241.0,-179.5,-202.5
12,-1581.0,-197.625,0.02564102564102564,-273.0,-146.0,-215.0,-206.0,-220.0,-197.0,-163.0,-161.0
13,-1679.0,-209.875,0.0,-308.0,-166.0,-185.5,-167.5,-244.0,-254.5,-131.5,-222.0
14,-1411.0,-176.375,0.07954545454545454,-293.0,-135.0,-141.5,-156.5,-231.0,-203.0,-115.0,-136.0
15,-1519.0,-189.875,0.010101010101010102,-344.0,-142.5,-153.5,-153.5,-227.0,-217.0,-115.5,-166.0
16,-1511.0,-188.875,0.01834862385321101,-238.5,-137.5,-199.0,-205.5,-210.0,-200.0,-162.5,-158.0
17,-1494.5,-186.8125,0.01694915254237288,-216.5,-146.0,-226.0,-196.0,-191.0,-209.0,-152.5,-157.5
18,-1359.0,-169.875,0.0,-240.0,-138.0,-167.0,-177.0,-166.5,-185.5,-128.5,-156.5
19,-1698.5,-212.3125,0.0,-289.5,-170.5,-232.5,-236.0,-214.0,-209.5,-155.5,-191.0
20,-1611.5,-201.4375,0.017094017094017096,-304.5,-150.5,-184.0,-207.0,-231.0,-190.0,-154.5,-190.0
