episode,network_reward,avg_intersection_reward,avg_wait_time,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
1,-1483.0,-185.375,0.015873015873015872,-230.5,-145.0,-228.0,-187.5,-215.5,-163.0,-139.5,-174.0
2,-1501.5,-187.6875,0.0,-305.5,-137.0,-182.5,-169.5,-185.0,-209.5,-120.0,-192.5
3,-1556.5,-194.5625,0.07339449541284404,-289.5,-100.5,-209.0,-238.5,-197.0,-208.0,-145.0,-169.0
4,-1670.5,-208.8125,0.042735042735042736,-359.0,-146.0,-216.5,-200.0,-251.5,-214.0,-124.0,-159.5
5,-1464.0,-183.0,0.00909090909090909,-257.5,-132.5,-192.0,-193.5,-217.0,-182.5,-151.0,-138.0
6,-1655.5,-206.9375,0.0,-305.5,-162.5,-213.0,-223.5,-202.0,-224.0,-155.5,-169.5
7,-1496.5,-187.0625,0.021052631578947368,-226.5,-133.5,-206.5,-186.0,-218.0,-244.0,-110.5,-171.5
8,-1505.0,-188.125,0.0,-249.5,-138.0,-219.0,-211.5,-217.5,-183.5,-124.5,-161.5
9,-1611.0,-201.375,0.0,-323.0,-141.0,-195.5,-220.5,-216.5,-186.5,-144.0,-184.0
10,-1492.5,-186.5625,0.05504587155963303,-227.5,-125.0,-189.0,-204.0,-192.0,-197.0,-165.0,-193.0
11,-1498.5,-187.3125,0.010101010101010102,-209.0,-112.5,-186.0,-214.5,-198.0,-252.5,-152.0,-174.0
12,-1559.5,-194.9375,0.019417475728155338,-265.0,-169.5,-208.5,-153.5,-223.5,-187.0,-172.5,-180.0
13,-1494.5,-186.8125,0.02912621359223301,-250.0,-145.5,-195.0,-195.0,-184.5,-182.0,-146.5,-196.0
14,-1504.0,-188.0,0.04201680672268908,-250.5,-111.0,-194.5,-217.0,-206.5,-217.0,-142.5,-165.0
15,-1484.0,-185.5,0.016129032258064516,-221.5,-146.5,-224.5,-205.5,-187.5,-185.0,-133.0,-180.5
16,-1490.5,-186.3125,0.0,-282.5,-127.0,-179.5,-206.5,-211.0,-184.0,-139.5,-160.5
17,-1477.5,-184.6875,0.018691588785046728,-326.5,-128.5,-198.0,-182.5,-161.0,-189.5,-119.0,-172.5
18,-1498.5,-187.3125,0.009615384615384616,-266.0,-161.5,-191.5,-208.5,-173.5,-187.5,-145.0,-165.0
19,-1407.5,-175.9375,0.0,-268.5,-113.5,-170.5,-206.0,-170.5,-176.5,-127.0,-175.0
20,-1578.5,-197.3125,0.0,-228.5,-162.5,-220.0,-221.0,-199.0,-198.5,-144.5,-204.5
