episode,network_reward,avg_intersection_reward,avg_wait_time,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
1,-1711.5,-213.9375,0.0,-275.0,-140.0,-202.0,-226.5,-234.5,-238.5,-171.5,-223.5
2,-1486.0,-185.75,0.009708737864077669,-212.5,-136.0,-212.0,-173.0,-223.5,-230.0,-112.0,-187.0
3,-1363.5,-170.4375,0.01834862385321101,-218.5,-146.5,-132.5,-152.5,-228.5,-191.0,-141.0,-153.0
4,-1360.5,-170.0625,0.0,-245.5,-126.0,-156.0,-148.0,-180.0,-229.5,-114.5,-161.0
5,-1549.5,-193.6875,0.024,-276.0,-138.0,-164.0,-212.0,-207.0,-219.5,-148.5,-184.5
6,-1511.0,-188.875,0.0,-223.0,-147.0,-179.5,-182.5,-205.5,-231.0,-145.0,-197.5
7,-1507.5,-188.4375,0.04918032786885246,-269.5,-131.0,-222.5,-232.0,-173.5,-191.0,-116.5,-171.5
8,-1487.5,-185.9375,0.0,-250.5,-157.5,-139.0,-163.0,-235.5,-246.0,-102.0,-194.0
9,-1517.0,-189.625,0.09523809523809523,-243.5,-153.0,-164.5,-169.0,-223.0,-241.5,-135.5,-187.0
10,-1449.5,-181.1875,0.04065040650406504,-291.0,-133.0,-169.0,-215.0,-204.5,-169.5,-121.5,-146.0
11,-1517.5,-189.6875,0.025210084033613446,-256.5,-100.5,-233.5,-197.0,-205.0,-204.5,-176.0,-144.5
12,-1655.5,-206.9375,0.022900763358778626,-380.5,-126.0,-157.0,-228.5,-198.5,-177.0,-168.0,-220.0
13,-1510.0,-188.75,0.0,-259.5,-157.5,-170.0,-193.5,-185.5,-181.5,-171.5,-191.0
14,-1407.0,-175.875,0.0,-219.5,-114.5,-175.5,-191.5,-200.0,-208.0,-119.0,-179.0
15,-1331.0,-166.375,0.009900990099009901,-188.0,-107.0,-187.5,-196.0,-173.0,-192.5,-114.5,-172.5
16,-1457.0,-182.125,0.008849557522123894,-243.0,-128.5,-206.5,-181.5,-194.0,-210.5,-135.5,-157.5
17,-1597.5,-199.6875,0.007633587786259542,-269.0,-143.0,-178.0,-205.0,-201.5,-269.0,-144.0,-188.0
18,-1542.0,-192.75,0.0,-285.0,-167.0,-179.0,-170.0,-256.0,-208.5,-129.0,-147.5
19,-1435.5,-179.4375,0.009345794392523364,-271.5,-117.5,-205.5,-197.0,-179.0,-190.5,-148.0,-126.5
20,-1490.5,-186.3125,0.03389830508474576,-221.0,-143.5,-183.5,-235.0,-181.5,-214.0,-113.0,-199.0
