episode,network_reward,avg_intersection_reward,avg_wait_time,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
1,-1659.0,-207.375,0.043859649122807015,-268.0,-146.5,-240.5,-213.5,-232.5,-211.0,-160.0,-187.0
2,-1623.0,-202.875,0.0196078431372549,-281.5,-158.0,-180.0,-172.5,-293.5,-245.0,-116.5,-176.0
3,-1448.0,-181.0,0.0,-257.5,-120.0,-187.0,-191.5,-195.5,-171.5,-140.5,-184.5
4,-1295.5,-161.9375,0.0,-186.5,-127.0,-157.5,-180.0,-188.0,-184.5,-124.5,-147.5
5,-1500.5,-187.5625,0.0,-234.5,-128.5,-222.0,-167.0,-227.5,-218.5,-135.5,-167.0
6,-1499.5,-187.4375,0.02608695652173913,-288.5,-103.0,-168.5,-168.0,-256.5,-209.5,-112.5,-193.0
7,-1679.0,-209.875,0.032520325203252036,-281.0,-130.0,-218.0,-221.0,-243.5,-275.5,-159.0,-151.0
8,-1500.5,-187.5625,0.03669724770642202,-240.0,-144.0,-211.5,-211.5,-165.0,-181.0,-142.5,-205.0
9,-1577.0,-197.125,0.0,-285.0,-139.0,-196.0,-193.0,-224.5,-183.5,-173.5,-182.5
10,-1469.5,-183.6875,0.03669724770642202,-210.5,-142.5,-202.5,-212.5,-172.0,-207.5,-141.5,-180.5
11,-1877.5,-234.6875,0.01652892561983471,-603.5,-151.5,-172.5,-175.0,-254.0,-189.5,-144.5,-187.0
12,-1481.0,-185.125,0.09278350515463918,-311.0,-114.5,-207.5,-189.0,-169.0,-167.5,-129.5,-193.0
13,-1341.0,-167.625,0.0,-235.5,-127.5,-147.5,-180.0,-195.0,-181.5,-121.5,-152.5
14,-1482.5,-185.3125,0.0,-325.0,-131.5,-172.5,-173.0,-205.0,-212.5,-119.0,-144.0
15,-2190.5,-273.8125,0.01904761904761905,-464.5,-134.5,-227.0,-640.5,-174.0,-207.0,-155.0,-188.0
16,-1586.0,-198.25,0.023622047244094488,-243.0,-171.5,-189.5,-192.0,-243.5,-191.0,-126.5,-229.0
17,-1490.0,-186.25,0.02127659574468085,-253.0,-131.5,-274.0,-172.0,-203.0,-145.5,-119.0,-192.0
18,-1507.5,-188.4375,0.07920792079207921,-214.5,-156.0,-193.0,-180.0,-250.5,-238.5,-120.0,-155.0
19,-1534.5,-191.8125,0.008333333333333333,-285.5,-161.0,-157.0,-163.5,-208.5,-213.0,-188.5,-157.5
20,-1625.0,-203.125,0.025210084033613446,-271.5,-154.5,-233.0,-183.5,-210.5,-189.5,-180.5,-202.0
