Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-8684.0,-4762.0,-3922.0,22.000435896594116,11.103302127985842,-1567.0,-776.5,-1389.5,-1029.0,-1046.0,-836.5,-984.5,-1055.0
-8714.0,-4456.5,-4257.5,16.54892481168111,10.798466565873888,-1156.5,-697.5,-1711.0,-891.5,-1064.0,-1270.0,-758.0,-1165.5
-9512.5,-4891.5,-4621.0,17.425583279132844,12.187995396720039,-1699.0,-1112.0,-1023.0,-1057.5,-906.5,-1209.0,-1518.0,-987.5
-8744.5,-4992.0,-3752.5,18.676011726591323,11.67242053018676,-1138.0,-1100.5,-1004.5,-1749.0,-1042.0,-1147.5,-707.0,-856.0
-8891.0,-4997.5,-3893.5,20.15148478216595,12.092272986306085,-1487.5,-866.0,-1498.0,-1146.0,-1085.5,-816.0,-972.0,-1020.0
-11532.5,-6426.5,-5106.0,22.503310167789458,13.121840737263362,-1590.0,-1478.0,-1842.0,-1516.5,-1951.0,-1071.5,-1003.0,-1080.5
-8617.5,-4634.5,-3983.0,24.598094455401103,12.9534300910102,-985.0,-1011.5,-1445.5,-1192.5,-1106.0,-911.0,-1004.0,-962.0
-7608.5,-3788.5,-3820.0,22.422001857227748,12.74116150803036,-952.5,-708.5,-899.0,-1228.5,-1090.5,-806.5,-707.0,-1216.0
-8500.0,-4195.0,-4305.0,21.805505899588265,13.0216148144669,-1421.0,-902.0,-999.0,-873.0,-1922.5,-832.0,-734.5,-816.0
-8810.0,-4874.5,-3935.5,21.500016966131,13.768598406844669,-1127.0,-796.5,-1572.5,-1378.5,-916.5,-1066.5,-978.0,-974.5
-8195.5,-3289.5,-4906.0,24.083067821131813,19.64460793733597,-1093.0,-472.0,-984.5,-740.0,-1664.0,-1369.5,-1069.0,-803.5
-7992.0,-4517.5,-3474.5,23.422692341274686,19.51034693055683,-1228.0,-1387.5,-826.0,-1076.0,-860.0,-793.5,-971.5,-849.5
-8244.5,-3890.0,-4354.5,23.913480054007636,18.9405190454589,-953.0,-771.5,-1007.0,-1158.5,-1380.0,-1113.0,-999.0,-862.5
-7976.5,-3839.5,-4137.0,22.94160628716151,19.295969908767276,-1368.5,-711.5,-644.5,-1115.0,-1162.5,-1378.0,-796.0,-800.5
-8492.5,-5239.5,-3253.0,23.612153673171996,18.84951417711046,-1281.5,-1008.5,-1100.5,-1849.0,-713.0,-984.0,-623.0,-933.0
-9392.0,-4720.5,-4671.5,23.1974067846934,18.27881531847848,-1378.5,-889.0,-984.5,-1468.5,-1293.5,-940.5,-1210.0,-1227.5
-8916.5,-4347.0,-4569.5,22.305009049839445,18.840832353962792,-1067.5,-733.5,-1432.0,-1114.0,-1424.0,-949.0,-1259.0,-937.5
-7617.5,-3666.0,-3951.5,23.054848130544027,18.752814202838472,-1006.5,-653.0,-1278.0,-728.5,-732.5,-1037.0,-788.5,-1393.5
-7560.0,-3629.5,-3930.5,22.495773104826608,19.15993543995751,-968.0,-910.5,-995.0,-756.0,-1402.0,-865.5,-782.5,-880.5
