Network_Reward,tls_1,tls_2,tls_3,tls_4
-2938.0,-734.5,-734.5,-734.5,-734.5
-3439.5,-859.875,-859.875,-859.875,-859.875
-3651.0,-912.75,-912.75,-912.75,-912.75
-3523.5,-880.875,-880.875,-880.875,-880.875
-3403.0,-850.75,-850.75,-850.75,-850.75
-3486.0,-871.5,-871.5,-871.5,-871.5
-3283.0,-820.75,-820.75,-820.75,-820.75
-3511.0,-877.75,-877.75,-877.75,-877.75
-3515.0,-878.75,-878.75,-878.75,-878.75
-3413.5,-853.375,-853.375,-853.375,-853.375
-3000.5,-750.125,-750.125,-750.125,-750.125
-3033.0,-758.25,-758.25,-758.25,-758.25
-3174.5,-793.625,-793.625,-793.625,-793.625
-3172.5,-793.125,-793.125,-793.125,-793.125
-3054.5,-763.625,-763.625,-763.625,-763.625
-3387.0,-846.75,-846.75,-846.75,-846.75
-3144.0,-786.0,-786.0,-786.0,-786.0
-3136.5,-784.125,-784.125,-784.125,-784.125
-2978.5,-744.625,-744.625,-744.625,-744.625
-3213.0,-803.25,-803.25,-803.25,-803.25
-3351.5,-837.875,-837.875,-837.875,-837.875
-3383.0,-845.75,-845.75,-845.75,-845.75
-3210.5,-802.625,-802.625,-802.625,-802.625
-3070.5,-767.625,-767.625,-767.625,-767.625
-3142.0,-785.5,-785.5,-785.5,-785.5
-3185.5,-796.375,-796.375,-796.375,-796.375
-2987.5,-746.875,-746.875,-746.875,-746.875
-3010.0,-752.5,-752.5,-752.5,-752.5
-3041.5,-760.375,-760.375,-760.375,-760.375
-2922.5,-730.625,-730.625,-730.625,-730.625
-3068.5,-767.125,-767.125,-767.125,-767.125
-3233.0,-808.25,-808.25,-808.25,-808.25
-3047.5,-761.875,-761.875,-761.875,-761.875
-2849.5,-712.375,-712.375,-712.375,-712.375
-3205.5,-801.375,-801.375,-801.375,-801.375
-2976.5,-744.125,-744.125,-744.125,-744.125
-2975.5,-743.875,-743.875,-743.875,-743.875
-2998.5,-749.625,-749.625,-749.625,-749.625
-3134.5,-783.625,-783.625,-783.625,-783.625
-3098.0,-774.5,-774.5,-774.5,-774.5
-2943.5,-735.875,-735.875,-735.875,-735.875
-3076.5,-769.125,-769.125,-769.125,-769.125
-3118.5,-779.625,-779.625,-779.625,-779.625
-3044.0,-761.0,-761.0,-761.0,-761.0
-3021.5,-755.375,-755.375,-755.375,-755.375
-3307.0,-826.75,-826.75,-826.75,-826.75
-2916.5,-729.125,-729.125,-729.125,-729.125
-2903.5,-725.875,-725.875,-725.875,-725.875
-2924.5,-731.125,-731.125,-731.125,-731.125
-3101.5,-775.375,-775.375,-775.375,-775.375
-2755.0,-688.75,-688.75,-688.75,-688.75
-2848.5,-712.125,-712.125,-712.125,-712.125
-2898.0,-724.5,-724.5,-724.5,-724.5
-2834.5,-708.625,-708.625,-708.625,-708.625
-2803.5,-700.875,-700.875,-700.875,-700.875
-2836.0,-709.0,-709.0,-709.0,-709.0
-2996.0,-749.0,-749.0,-749.0,-749.0
-3126.5,-781.625,-781.625,-781.625,-781.625
-2912.5,-728.125,-728.125,-728.125,-728.125
-2964.5,-741.125,-741.125,-741.125,-741.125
-2799.5,-699.875,-699.875,-699.875,-699.875
-2871.5,-717.875,-717.875,-717.875,-717.875
-2986.5,-746.625,-746.625,-746.625,-746.625
-2851.0,-712.75,-712.75,-712.75,-712.75
-3071.0,-767.75,-767.75,-767.75,-767.75
-3050.0,-762.5,-762.5,-762.5,-762.5
-3086.0,-771.5,-771.5,-771.5,-771.5
-3109.0,-777.25,-777.25,-777.25,-777.25
-3023.0,-755.75,-755.75,-755.75,-755.75
-3190.0,-797.5,-797.5,-797.5,-797.5
-3001.5,-750.375,-750.375,-750.375,-750.375
-2917.0,-729.25,-729.25,-729.25,-729.25
-3036.0,-759.0,-759.0,-759.0,-759.0
-3017.0,-754.25,-754.25,-754.25,-754.25
-3041.0,-760.25,-760.25,-760.25,-760.25
-2955.0,-738.75,-738.75,-738.75,-738.75
-3050.0,-762.5,-762.5,-762.5,-762.5
-2867.5,-716.875,-716.875,-716.875,-716.875
-2852.5,-713.125,-713.125,-713.125,-713.125
-2939.5,-734.875,-734.875,-734.875,-734.875
-2897.5,-724.375,-724.375,-724.375,-724.375
-2918.0,-729.5,-729.5,-729.5,-729.5
-3000.0,-750.0,-750.0,-750.0,-750.0
-2915.0,-728.75,-728.75,-728.75,-728.75
-2799.0,-699.75,-699.75,-699.75,-699.75
-2834.0,-708.5,-708.5,-708.5,-708.5
-3008.0,-752.0,-752.0,-752.0,-752.0
-3114.0,-778.5,-778.5,-778.5,-778.5
-2947.5,-736.875,-736.875,-736.875,-736.875
-2774.5,-693.625,-693.625,-693.625,-693.625
-2911.5,-727.875,-727.875,-727.875,-727.875
-2976.5,-744.125,-744.125,-744.125,-744.125
-2996.5,-749.125,-749.125,-749.125,-749.125
-2890.5,-722.625,-722.625,-722.625,-722.625
-2939.5,-734.875,-734.875,-734.875,-734.875
-2965.0,-741.25,-741.25,-741.25,-741.25
-2872.5,-718.125,-718.125,-718.125,-718.125
-2887.0,-721.75,-721.75,-721.75,-721.75
-2802.0,-700.5,-700.5,-700.5,-700.5
-2789.0,-697.25,-697.25,-697.25,-697.25
-2736.5,-684.125,-684.125,-684.125,-684.125
-2658.5,-664.625,-664.625,-664.625,-664.625
-2679.0,-669.75,-669.75,-669.75,-669.75
-2723.0,-680.75,-680.75,-680.75,-680.75
-2821.5,-705.375,-705.375,-705.375,-705.375
-2729.5,-682.375,-682.375,-682.375,-682.375
-2821.5,-705.375,-705.375,-705.375,-705.375
-2665.5,-666.375,-666.375,-666.375,-666.375
-2860.0,-715.0,-715.0,-715.0,-715.0
-2787.5,-696.875,-696.875,-696.875,-696.875
-2867.5,-716.875,-716.875,-716.875,-716.875
-2721.0,-680.25,-680.25,-680.25,-680.25
-2640.0,-660.0,-660.0,-660.0,-660.0
-2912.5,-728.125,-728.125,-728.125,-728.125
-2758.5,-689.625,-689.625,-689.625,-689.625
-2883.5,-720.875,-720.875,-720.875,-720.875
-2763.5,-690.875,-690.875,-690.875,-690.875
-2870.5,-717.625,-717.625,-717.625,-717.625
-2817.0,-704.25,-704.25,-704.25,-704.25
-2763.5,-690.875,-690.875,-690.875,-690.875
-2824.0,-706.0,-706.0,-706.0,-706.0
-2687.5,-671.875,-671.875,-671.875,-671.875
-2780.0,-695.0,-695.0,-695.0,-695.0
-2630.0,-657.5,-657.5,-657.5,-657.5
-2739.0,-684.75,-684.75,-684.75,-684.75
-2795.0,-698.75,-698.75,-698.75,-698.75
-2656.5,-664.125,-664.125,-664.125,-664.125
-2686.5,-671.625,-671.625,-671.625,-671.625
-2656.0,-664.0,-664.0,-664.0,-664.0
-2692.5,-673.125,-673.125,-673.125,-673.125
-2802.5,-700.625,-700.625,-700.625,-700.625
-2849.0,-712.25,-712.25,-712.25,-712.25
-2775.0,-693.75,-693.75,-693.75,-693.75
-2828.5,-707.125,-707.125,-707.125,-707.125
-2702.0,-675.5,-675.5,-675.5,-675.5
-2702.0,-675.5,-675.5,-675.5,-675.5
-2835.5,-708.875,-708.875,-708.875,-708.875
-2809.5,-702.375,-702.375,-702.375,-702.375
-2809.0,-702.25,-702.25,-702.25,-702.25
-2754.0,-688.5,-688.5,-688.5,-688.5
-2794.0,-698.5,-698.5,-698.5,-698.5
-2807.5,-701.875,-701.875,-701.875,-701.875
-2862.0,-715.5,-715.5,-715.5,-715.5
-2826.0,-706.5,-706.5,-706.5,-706.5
-2791.5,-697.875,-697.875,-697.875,-697.875
-2892.0,-723.0,-723.0,-723.0,-723.0
-2829.0,-707.25,-707.25,-707.25,-707.25
-2739.0,-684.75,-684.75,-684.75,-684.75
-2722.5,-680.625,-680.625,-680.625,-680.625
-2822.5,-705.625,-705.625,-705.625,-705.625
-2874.0,-718.5,-718.5,-718.5,-718.5
-2684.5,-671.125,-671.125,-671.125,-671.125
-2775.5,-693.875,-693.875,-693.875,-693.875
-2831.0,-707.75,-707.75,-707.75,-707.75
-2714.0,-678.5,-678.5,-678.5,-678.5
-2765.0,-691.25,-691.25,-691.25,-691.25
-2710.5,-677.625,-677.625,-677.625,-677.625
-2857.5,-714.375,-714.375,-714.375,-714.375
-2612.0,-653.0,-653.0,-653.0,-653.0
-2729.5,-682.375,-682.375,-682.375,-682.375
-2785.5,-696.375,-696.375,-696.375,-696.375
-2752.0,-688.0,-688.0,-688.0,-688.0
-2725.5,-681.375,-681.375,-681.375,-681.375
-2845.0,-711.25,-711.25,-711.25,-711.25
-2915.5,-728.875,-728.875,-728.875,-728.875
-2944.5,-736.125,-736.125,-736.125,-736.125
-2901.5,-725.375,-725.375,-725.375,-725.375
-2621.5,-655.375,-655.375,-655.375,-655.375
