Episode,Total_Reward,Zone_A_Reward,Zone_B_Reward,Avg_Waiting_Time,Avg_Queue,Epsilon_Local,Epsilon_Supervisor,Sup_A_NS,Sup_A_EW,Sup_A_BAL,Sup_B_NS,Sup_B_EW,Sup_B_BAL,Queue_TLS_1,Queue_TLS_2,Queue_TLS_3,Queue_TLS_4,Queue_TLS_5,Queue_TLS_6,Queue_TLS_7,Queue_TLS_8
1,-26749.500000000004,-14218.999999999984,-12530.499999999989,0.14184397163120568,0.75,0.995,0.997,0.35684647302904565,0.3236514522821577,0.31950207468879666,0.3153526970954357,0.3029045643153527,0.3817427385892116,0,0,1,1,2,0,0,2
2,-24057.499999999993,-10836.49999999999,-13220.999999999995,0.2152777777777778,0.5,0.990025,0.994009,0.3651452282157676,0.34439834024896265,0.29045643153526973,0.31950207468879666,0.33195020746887965,0.34854771784232363,0,2,0,2,0,0,0,0
3,-24670.000000000116,-11390.99999999998,-13279.000000000013,0.8082191780821918,1.875,0.985074875,0.991026973,0.2946058091286307,0.37344398340248963,0.33195020746887965,0.3941908713692946,0.26141078838174275,0.34439834024896265,0,3,4,0,2,1,1,4
4,-25023.999999999996,-10926.999999999998,-14097.000000000011,1.06993006993007,1.75,0.9801495006250001,0.988053892081,0.3278008298755187,0.3236514522821577,0.34854771784232363,0.3153526970954357,0.3070539419087137,0.3775933609958506,0,1,1,1,2,0,0,9
5,-30202.999999999964,-15863.499999999996,-14339.499999999989,0.24087591240875914,0.625,0.9752487531218751,0.985089730404757,0.4066390041493776,0.3236514522821577,0.2697095435684647,0.33195020746887965,0.3112033195020747,0.35684647302904565,0,0,2,0,0,1,0,2
6,-22186.99999999992,-11042.500000000013,-11144.499999999998,0.11594202898550725,0.5,0.9703725093562657,0.9821344612135428,0.27385892116182575,0.38589211618257263,0.34024896265560167,0.34439834024896265,0.33195020746887965,0.3236514522821577,0,0,0,1,0,2,0,1
7,-28421.500000000007,-14526.49999999999,-13894.999999999987,0.900709219858156,1.625,0.9655206468094844,0.9791880578299021,0.3112033195020747,0.2946058091286307,0.3941908713692946,0.37344398340248963,0.34439834024896265,0.2821576763485477,0,2,0,4,0,0,1,6
8,-29128.499999999996,-16209.999999999975,-12918.500000000004,0.9420289855072463,1.625,0.960693043575437,0.9762504936564125,0.2946058091286307,0.3236514522821577,0.3817427385892116,0.2987551867219917,0.37344398340248963,0.3278008298755187,0,0,6,0,4,3,0,0
9,-23178.50000000001,-10779.000000000002,-12399.499999999995,0.1386861313868613,0.375,0.9558895783575597,0.9733217421754432,0.34439834024896265,0.3360995850622407,0.31950207468879666,0.34854771784232363,0.3360995850622407,0.3153526970954357,1,1,0,0,0,0,0,1
10,-23464.50000000003,-11729.999999999993,-11734.500000000007,0.3546099290780142,1.0,0.9511101304657719,0.9704017769489168,0.34024896265560167,0.27385892116182575,0.38589211618257263,0.2863070539419087,0.3360995850622407,0.3775933609958506,0,0,4,1,0,3,0,0
11,-24195.50000000002,-11928.999999999965,-12266.500000000016,0.5036496350364964,1.125,0.946354579813443,0.9674905716180701,0.2946058091286307,0.35684647302904565,0.34854771784232363,0.3278008298755187,0.36929460580912865,0.3029045643153527,0,2,0,1,1,1,1,3
12,-22313.999999999975,-10314.500000000004,-11999.500000000031,0.05714285714285714,0.25,0.9416228069143757,0.9645880999032158,0.33195020746887965,0.34024896265560167,0.3278008298755187,0.3029045643153527,0.3941908713692946,0.3029045643153527,0,0,0,0,1,1,0,0
13,-22168.00000000002,-10772.999999999996,-11395.000000000005,1.7183098591549295,2.5,0.9369146928798039,0.9616943356035061,0.29045643153526973,0.36099585062240663,0.34854771784232363,0.35684647302904565,0.35269709543568467,0.29045643153526973,1,0,0,7,11,0,0,1
14,-20984.99999999994,-9526.00000000001,-11459.000000000005,0.08633093525179857,0.5,0.9322301194154049,0.9588092525966956,0.31950207468879666,0.31950207468879666,0.36099585062240663,0.31950207468879666,0.4024896265560166,0.27800829875518673,0,0,1,2,1,0,0,0
15,-20848.999999999924,-10873.499999999984,-9975.49999999998,0.6544117647058824,1.25,0.9275689688183278,0.9559328248389055,0.35269709543568467,0.27800829875518673,0.36929460580912865,0.35684647302904565,0.34024896265560167,0.3029045643153527,0,0,3,2,2,2,0,1
16,-21296.999999999924,-9765.499999999993,-11531.499999999984,0.1510791366906475,0.625,0.9229311239742362,0.9530650263643888,0.36929460580912865,0.3070539419087137,0.3236514522821577,0.3360995850622407,0.34439834024896265,0.31950207468879666,0,0,0,1,1,2,0,1
17,-21495.500000000036,-10774.499999999978,-10720.99999999999,0.2028985507246377,0.625,0.918316468354365,0.9502058312852957,0.31950207468879666,0.34439834024896265,0.3360995850622407,0.2821576763485477,0.3360995850622407,0.3817427385892116,0,1,0,1,1,1,0,1
18,-21912.50000000004,-11628.500000000027,-10283.999999999973,0.28368794326241137,1.125,0.9137248860125932,0.9473552137914398,0.3360995850622407,0.34854771784232363,0.3153526970954357,0.3983402489626556,0.3029045643153527,0.2987551867219917,3,3,3,0,0,0,0,0
19,-20500.999999999993,-10212.50000000001,-10288.499999999995,1.4027777777777777,2.625,0.9091562615825302,0.9445131481500655,0.3112033195020747,0.33195020746887965,0.35684647302904565,0.34854771784232363,0.4107883817427386,0.24066390041493776,1,1,6,2,10,0,0,1
20,-19666.49999999995,-9842.000000000013,-9824.500000000015,0.5214285714285715,1.0,0.9046104802746175,0.9416796087056153,0.3070539419087137,0.36929460580912865,0.3236514522821577,0.3112033195020747,0.34439834024896265,0.34439834024896265,1,3,0,0,0,0,0,4
21,-20069.99999999996,-9519.99999999999,-10549.999999999998,0.3591549295774648,0.625,0.9000874278732445,0.9388545698794984,0.3070539419087137,0.36929460580912865,0.3236514522821577,0.36929460580912865,0.36929460580912865,0.26141078838174275,0,0,4,0,1,0,0,0
22,-21827.500000000047,-10040.999999999987,-11786.50000000002,0.07042253521126761,0.625,0.8955869907338783,0.93603800616986,0.2987551867219917,0.37344398340248963,0.3278008298755187,0.3360995850622407,0.2863070539419087,0.3775933609958506,0,0,2,0,0,0,1,2
23,-21003.000000000055,-10302.999999999978,-10700.000000000015,0.9645390070921985,2.0,0.8911090557802088,0.9332298921513504,0.3112033195020747,0.3112033195020747,0.3775933609958506,0.3153526970954357,0.35269709543568467,0.33195020746887965,0,9,0,0,4,1,1,1
24,-20255.999999999978,-10521.499999999998,-9734.500000000011,0.7619047619047619,1.25,0.8866535105013078,0.9304302024748964,0.34024896265560167,0.2987551867219917,0.36099585062240663,0.42738589211618255,0.2821576763485477,0.29045643153526973,0,0,0,2,2,0,5,1
25,-18996.000000000015,-8652.499999999996,-10343.499999999982,0.1619718309859155,0.625,0.8822202429488013,0.9276389118674717,0.3029045643153527,0.31950207468879666,0.3775933609958506,0.3651452282157676,0.36099585062240663,0.27385892116182575,0,0,0,0,2,0,3,0
26,-18640.000000000044,-9474.499999999973,-9165.499999999973,0.11029411764705882,0.5,0.8778091417340573,0.9248559951318693,0.2863070539419087,0.33195020746887965,0.3817427385892116,0.3941908713692946,0.3112033195020747,0.2946058091286307,0,0,0,1,1,0,0,2
27,-19350.999999999967,-8956.000000000047,-10395.000000000011,0.09285714285714286,0.875,0.8734200960253871,0.9220814271464737,0.4107883817427386,0.2821576763485477,0.3070539419087137,0.3112033195020747,0.36099585062240663,0.3278008298755187,0,0,0,0,4,3,0,0
28,-18661.499999999978,-9385.99999999997,-9275.5,0.11888111888111888,0.375,0.8690529955452602,0.9193151828650342,0.34854771784232363,0.3112033195020747,0.34024896265560167,0.33195020746887965,0.34439834024896265,0.3236514522821577,0,0,0,3,0,0,0,0
29,-19152.500000000022,-8926.49999999997,-10225.999999999993,1.6830985915492958,2.125,0.8647077305675338,0.9165572373164391,0.3360995850622407,0.3775933609958506,0.2863070539419087,0.3153526970954357,0.36099585062240663,0.3236514522821577,0,2,4,0,2,0,1,8
30,-17896.00000000008,-9287.999999999989,-8607.999999999987,0.020689655172413793,0.375,0.8603841919146962,0.9138075656044898,0.33195020746887965,0.2821576763485477,0.38589211618257263,0.3112033195020747,0.37344398340248963,0.3153526970954357,0,0,1,1,1,0,0,0
31,-18839.500000000025,-9909.499999999987,-8929.999999999984,0.0,0.0,0.8560822709551227,0.9110661429076764,0.34854771784232363,0.29045643153526973,0.36099585062240663,0.3983402489626556,0.3070539419087137,0.2946058091286307,0,0,0,0,0,0,0,0
32,-18605.999999999985,-9937.49999999998,-8668.499999999989,0.3333333333333333,1.125,0.851801859600347,0.9083329444789534,0.2946058091286307,0.3651452282157676,0.34024896265560167,0.3941908713692946,0.2946058091286307,0.3112033195020747,0,3,0,0,4,0,0,2
33,-17386.499999999996,-8268.000000000005,-9118.500000000011,0.3191489361702128,1.375,0.8475428503023453,0.9056079456455165,0.3278008298755187,0.3236514522821577,0.34854771784232363,0.33195020746887965,0.2863070539419087,0.3817427385892116,0,3,0,2,4,0,0,2
34,-16873.00000000004,-7790.000000000016,-9082.999999999985,0.04316546762589928,0.25,0.8433051360508336,0.90289112180858,0.3236514522821577,0.2572614107883817,0.4190871369294606,0.3236514522821577,0.3817427385892116,0.2946058091286307,0,1,0,0,0,1,0,0
35,-15929.000000000035,-7475.000000000003,-8453.99999999999,0.45112781954887216,1.25,0.8390886103705794,0.9001824484431542,0.3236514522821577,0.31950207468879666,0.35684647302904565,0.34024896265560167,0.35269709543568467,0.3070539419087137,1,0,0,4,2,2,0,1
36,-18481.49999999998,-8751.499999999998,-9729.99999999998,0.5177304964539007,0.875,0.8348931673187264,0.8974819010978248,0.3070539419087137,0.34024896265560167,0.35269709543568467,0.36099585062240663,0.35684647302904565,0.2821576763485477,2,0,4,0,0,0,1,0
