Episode,Total_Reward,Zone_A_Reward,Zone_B_Reward,Avg_Waiting_Time,Avg_Queue,Epsilon_Local,Epsilon_Supervisor,Sup_A_NS,Sup_A_EW,Sup_A_BAL,Sup_B_NS,Sup_B_EW,Sup_B_BAL,Queue_TLS_1,Queue_TLS_2,Queue_TLS_3,Queue_TLS_4,Queue_TLS_5,Queue_TLS_6,Queue_TLS_7,Queue_TLS_8
1,-4093.499999999998,-1942.9999999999984,-2150.500000000003,0.05223880597014925,0.5,0.02688620915078702,0.2994,0.24481327800829875,0.4854771784232365,0.2697095435684647,0.26556016597510373,0.44813278008298757,0.2863070539419087,0,1,0,0,3,0,0,0
2,-4125.500000000013,-1941.9999999999989,-2183.500000000005,0.10218978102189781,0.5,0.026832436732485445,0.2988012,0.4066390041493776,0.25311203319502074,0.34024896265560167,0.3817427385892116,0.2987551867219917,0.31950207468879666,0,1,0,0,3,0,0,0
3,-4010.999999999988,-1932.000000000005,-2078.9999999999995,0.04964539007092199,0.5,0.026778771859020473,0.2982035976,0.27800829875518673,0.36099585062240663,0.36099585062240663,0.42323651452282157,0.3775933609958506,0.1991701244813278,0,1,0,0,2,1,0,0
4,-3771.9999999999977,-1848.5000000000068,-1923.4999999999998,0.08148148148148149,0.25,0.02672521431530243,0.2976071904048,0.2946058091286307,0.4605809128630705,0.24481327800829875,0.4605809128630705,0.4066390041493776,0.13278008298755187,0,0,0,2,0,0,0,0
5,-3875.5000000000014,-1772.0000000000039,-2103.5000000000077,0.014598540145985401,0.125,0.026671763886671827,0.2970119760239904,0.21991701244813278,0.4896265560165975,0.29045643153526973,0.5394190871369294,0.29045643153526973,0.17012448132780084,0,1,0,0,0,0,0,0
6,-3988.5000000000023,-2039.5000000000002,-1949.0000000000068,0.02857142857142857,0.125,0.026618420358898484,0.2964179520719424,0.31950207468879666,0.44813278008298757,0.23236514522821577,0.43568464730290457,0.4605809128630705,0.1037344398340249,0,1,0,0,0,0,0,0
7,-4025.5000000000023,-1958.0000000000036,-2067.5000000000036,0.021897810218978103,0.25,0.02656518351818069,0.2958251161677985,0.29045643153526973,0.44813278008298757,0.26141078838174275,0.4979253112033195,0.36929460580912865,0.13278008298755187,0,1,1,0,0,0,0,0
8,-4190.5000000000055,-1965.0000000000036,-2225.500000000008,0.05970149253731343,0.375,0.026512053151144327,0.2952334659354629,0.11203319502074689,0.3941908713692946,0.49377593360995853,0.4730290456431535,0.2946058091286307,0.23236514522821577,0,1,0,0,1,1,0,0
9,-4005.4999999999905,-1986.0000000000018,-2019.5000000000025,0.043795620437956206,0.375,0.02645902904484204,0.294642999003592,0.2157676348547718,0.3983402489626556,0.38589211618257263,0.42738589211618255,0.4066390041493776,0.16597510373443983,1,0,0,1,1,0,0,0
10,-3804.500000000008,-1861.5000000000032,-1942.999999999996,0.12408759124087591,0.875,0.026406110986752353,0.2940537130055848,0.11618257261410789,0.5103734439834025,0.37344398340248963,0.4149377593360996,0.43568464730290457,0.14937759336099585,1,1,0,1,2,1,0,1
11,-9390.999999999984,-4399.000000000006,-4991.999999999973,0.051470588235294115,0.5,0.02635329876477885,0.29346560557957363,0.27385892116182575,0.17427385892116182,0.5518672199170125,0.5767634854771784,0.26556016597510373,0.15767634854771784,0,1,0,0,3,0,0,0
12,-4128.499999999998,-1979.000000000003,-2149.5000000000014,0.06666666666666667,0.5,0.026300592167249292,0.29287867436841447,0.2946058091286307,0.17842323651452283,0.5269709543568465,0.5518672199170125,0.2697095435684647,0.17842323651452283,0,1,0,0,2,1,0,0
13,-4175.999999999998,-2002.5000000000045,-2173.5000000000036,0.022058823529411766,0.25,0.026247990982914794,0.29229291701967763,0.4896265560165975,0.21161825726141079,0.2987551867219917,0.46887966804979253,0.3070539419087137,0.22406639004149378,0,0,0,0,1,1,0,0
14,-4361.499999999987,-2197.999999999999,-2163.5,0.06521739130434782,0.5,0.026195495000948962,0.29170833118563827,0.5435684647302904,0.08298755186721991,0.37344398340248963,0.5062240663900415,0.2946058091286307,0.1991701244813278,0,1,0,1,2,0,0,0
15,-4361.999999999982,-2165.499999999997,-2196.500000000007,0.014598540145985401,0.25,0.026143104010947063,0.291124914523267,0.4315352697095436,0.17012448132780084,0.3983402489626556,0.42323651452282157,0.27800829875518673,0.2987551867219917,0,0,0,0,2,0,0,0
16,-3870.5000000000127,-1887.0000000000014,-1983.5000000000002,0.043795620437956206,0.25,0.02609081780292517,0.29054266469422046,0.3775933609958506,0.2863070539419087,0.3360995850622407,0.5767634854771784,0.3112033195020747,0.11203319502074689,0,0,0,0,0,2,0,0
17,-3920.4999999999905,-1906.5000000000043,-2013.9999999999998,0.08888888888888889,0.375,0.02603863616731932,0.289961579364832,0.43568464730290457,0.23651452282157676,0.3278008298755187,0.47717842323651455,0.3360995850622407,0.18672199170124482,0,1,2,0,0,0,0,0
18,-4464.000000000006,-2307.000000000006,-2157.0000000000036,0.0,0.0,0.02598655889498468,0.28938165620610234,0.44813278008298757,0.2033195020746888,0.34854771784232363,0.5103734439834025,0.26141078838174275,0.22821576763485477,0,0,0,0,0,0,0,0
19,-3941.4999999999945,-1850.5000000000018,-2091.0000000000005,0.07246376811594203,0.625,0.02593458577719471,0.28880289289369016,0.3070539419087137,0.3029045643153527,0.3900414937759336,0.4854771784232365,0.23651452282157676,0.27800829875518673,0,0,1,0,4,0,0,0
20,-3871.0000000000045,-1942.0000000000018,-1929.0000000000018,0.029411764705882353,0.25,0.025882716605640323,0.2882252871079028,0.4190871369294606,0.21161825726141079,0.36929460580912865,0.5103734439834025,0.3070539419087137,0.1825726141078838,0,0,1,0,0,1,0,0
21,-6007.999999999963,-3814.4999999999936,-2193.500000000006,0.043795620437956206,0.25,0.02583095117242904,0.287648836533687,0.2946058091286307,0.23236514522821577,0.4730290456431535,0.5020746887966805,0.3153526970954357,0.1825726141078838,0,0,1,0,1,0,0,0
22,-5080.499999999994,-2951.9999999999977,-2128.500000000002,0.0,0.0,0.025779289270084185,0.28707353886061965,0.5394190871369294,0.24066390041493776,0.21991701244813278,0.5228215767634855,0.2863070539419087,0.1908713692946058,0,0,0,0,0,0,0,0
23,-4936.499999999981,-2757.499999999998,-2179.0000000000045,0.029197080291970802,0.375,0.025727730691544017,0.2864993917828984,0.4024896265560166,0.12033195020746888,0.47717842323651455,0.5975103734439834,0.17012448132780084,0.23236514522821577,0,0,0,1,2,0,0,0
24,-4317.499999999994,-2218.4999999999995,-2098.999999999999,0.06521739130434782,0.375,0.02567627523016093,0.2859263929993326,0.44813278008298757,0.24481327800829875,0.3070539419087137,0.4730290456431535,0.2863070539419087,0.24066390041493776,1,0,1,0,1,0,0,0
25,-4739.5000000000055,-2630.0000000000055,-2109.5000000000005,0.029411764705882353,0.25,0.02562492267970061,0.28535454021333395,0.21991701244813278,0.31950207468879666,0.4605809128630705,0.47717842323651455,0.2821576763485477,0.24066390041493776,0,1,1,0,0,0,0,0
26,-4355.000000000027,-1890.9999999999984,-2464.0000000000036,0.014705882352941176,0.0,0.02557367283434121,0.2847838311329073,0.22821576763485477,0.2074688796680498,0.5643153526970954,0.43568464730290457,0.1825726141078838,0.3817427385892116,0,0,0,0,0,0,0,0
27,-4077.500000000003,-1890.9999999999986,-2186.4999999999995,0.11678832116788321,0.5,0.025522525488672527,0.2842142634706415,0.27800829875518673,0.3029045643153527,0.4190871369294606,0.5352697095435685,0.1991701244813278,0.26556016597510373,0,0,0,0,3,0,0,1
28,-4164.000000000014,-1971.9999999999984,-2191.9999999999977,0.02158273381294964,0.125,0.025471480437695183,0.2836458349437002,0.24066390041493776,0.2946058091286307,0.46473029045643155,0.5435684647302904,0.2697095435684647,0.18672199170124482,0,1,0,0,0,0,0,0
