Network_Reward,tls_1,tls_2,tls_3,tls_4
-5671.0,-1774.0,-1503.0,-1221.5,-1172.5
-5603.5,-1537.5,-1278.5,-1461.5,-1326.0
-5910.0,-1472.0,-1346.5,-1759.0,-1332.5
-5513.5,-1460.5,-1272.5,-1602.5,-1178.0
-5617.0,-1429.5,-1243.0,-1629.0,-1315.5
-5725.0,-1440.0,-1288.0,-1601.5,-1395.5
-5416.5,-1493.5,-1309.5,-1229.0,-1384.5
-5637.0,-1522.5,-1296.5,-1186.0,-1632.0
-5844.0,-1478.0,-1236.0,-1226.0,-1904.0
-6491.5,-1552.5,-1263.0,-1407.0,-2269.0
-4274.5,-1471.0,-850.5,-838.5,-1114.5
-5271.5,-1297.5,-980.5,-859.0,-2134.5
-5550.5,-1454.5,-1018.5,-884.0,-2193.5
-5170.5,-1259.5,-991.5,-810.0,-2109.5
-5009.0,-1095.5,-1168.5,-796.0,-1949.0
-5680.5,-1583.0,-1170.0,-809.0,-2118.5
-5652.5,-1649.0,-1033.0,-894.0,-2076.5
-5551.5,-1542.0,-1067.5,-945.0,-1997.0
-5859.5,-1687.0,-1064.5,-1062.0,-2046.0
-5411.5,-1421.0,-1006.5,-965.0,-2019.0
-4274.5,-1610.0,-907.5,-773.5,-983.5
-4299.0,-1512.0,-926.5,-808.0,-1052.5
-4523.5,-1584.5,-905.5,-834.0,-1199.5
-4415.0,-1604.0,-825.0,-850.0,-1136.0
-4530.5,-1555.0,-890.0,-840.5,-1245.0
-4283.0,-1616.5,-835.5,-854.0,-977.0
-4314.5,-1511.0,-812.0,-823.0,-1168.5
-3960.5,-1535.0,-774.5,-856.5,-794.5
-4118.5,-1536.0,-848.5,-820.5,-913.5
-3943.5,-1561.0,-872.5,-831.5,-678.5
-3633.5,-1337.5,-830.0,-529.0,-937.0
-3683.5,-1338.0,-798.5,-465.5,-1081.5
-3738.0,-1373.0,-777.5,-525.0,-1062.5
-3787.5,-1409.5,-797.0,-527.0,-1054.0
-4050.5,-1456.5,-820.0,-649.5,-1124.5
-3940.0,-1506.5,-795.5,-514.5,-1123.5
-3737.5,-1297.5,-857.5,-547.0,-1035.5
-3634.0,-1335.5,-743.5,-531.0,-1024.0
-3563.5,-1282.5,-797.0,-530.0,-954.0
-3672.5,-1323.5,-792.0,-549.0,-1008.0
-3490.5,-973.0,-660.0,-468.5,-1389.0
-3264.0,-1053.5,-677.0,-448.5,-1085.0
-3321.0,-1069.5,-702.5,-572.0,-977.0
-3154.0,-1066.0,-679.5,-473.5,-935.0
-3059.0,-1036.0,-717.5,-490.0,-815.5
-3134.5,-1088.5,-776.0,-514.5,-755.5
-3072.5,-1024.5,-749.0,-483.0,-816.0
-2994.5,-1017.5,-723.0,-445.0,-809.0
-3038.0,-977.0,-752.5,-532.0,-776.5
-2978.0,-1073.5,-691.0,-405.5,-808.0
-2563.0,-855.0,-674.5,-471.0,-562.5
-2641.5,-795.5,-706.0,-509.5,-630.5
-2874.5,-898.0,-777.0,-565.5,-634.0
-2708.0,-944.0,-701.5,-545.5,-517.0
-2806.0,-818.5,-655.5,-623.0,-709.0
-2802.5,-822.0,-774.0,-625.0,-581.5
-2701.0,-801.0,-754.0,-531.5,-614.5
-2746.0,-893.0,-796.5,-496.5,-560.0
-2598.0,-768.5,-691.0,-528.0,-610.5
-2736.5,-827.5,-739.0,-563.0,-607.0
-2494.5,-860.5,-723.0,-478.0,-433.0
-2607.5,-854.5,-792.0,-498.5,-462.5
-2603.0,-867.5,-729.0,-489.0,-517.5
-2677.0,-868.5,-762.0,-612.0,-434.5
-2669.0,-870.5,-715.5,-520.0,-563.0
-2561.0,-879.5,-709.5,-499.0,-473.0
-2643.0,-837.0,-743.0,-491.5,-571.5
-2404.0,-830.0,-688.0,-420.0,-466.0
-2480.0,-842.5,-707.5,-450.5,-479.5
-2558.0,-831.0,-752.5,-509.0,-465.5
-2682.0,-864.0,-754.0,-611.5,-452.5
-2834.5,-880.0,-765.5,-692.0,-497.0
-2783.0,-921.5,-702.0,-701.0,-458.5
-2645.5,-844.0,-738.5,-602.5,-460.5
-2716.0,-838.0,-719.0,-706.5,-452.5
-2709.5,-934.0,-728.0,-587.0,-460.5
-2529.5,-857.5,-681.0,-539.5,-451.5
-2612.5,-824.5,-777.0,-608.0,-403.0
-2643.0,-828.0,-725.0,-617.5,-472.5
-2765.0,-1062.0,-672.5,-604.5,-426.0
-2416.5,-875.0,-660.5,-462.0,-419.0
-2282.0,-813.0,-672.5,-466.0,-330.5
-2416.5,-834.0,-706.5,-450.5,-425.5
-2353.0,-880.5,-640.0,-453.0,-379.5
-2373.0,-756.5,-718.0,-502.5,-396.0
-2394.5,-864.0,-682.0,-459.5,-389.0
-2613.5,-852.5,-733.0,-560.5,-467.5
-2429.5,-888.0,-678.0,-445.5,-418.0
-2480.0,-910.5,-675.0,-471.0,-423.5
-2432.5,-841.5,-706.5,-489.0,-395.5
-2388.5,-834.5,-699.5,-462.5,-392.0
-2614.0,-989.5,-719.5,-484.0,-421.0
-2410.0,-883.0,-712.0,-458.0,-357.0
-2514.0,-966.0,-632.0,-522.5,-393.5
-2456.5,-956.5,-688.5,-443.0,-368.5
-2491.5,-942.0,-716.0,-466.5,-367.0
-2348.5,-835.5,-732.0,-416.5,-364.5
-2419.5,-887.5,-674.0,-446.0,-412.0
-2356.0,-860.0,-703.0,-438.5,-354.5
-2348.0,-822.0,-711.5,-434.0,-380.5
